Region,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
OECD_Americas,"1,412.9","1,616.4","2,133.0","2,191.2","2,199.4","2,234.6","2,062.7","2,184.0","2,225.1","2,099.9","2,061.4","2,272.9","2,297.7","2,366.3","2,381.3","2,431.9","2,702.0","2,965.7","3,091.6","2,842.6","3,079.5","3,050.3","3,118.7","3,358.0","3,506.2","3,426.0","3,466.2","3,341.4","3,089.1","2,849.0","2,980.2","3,150.6","3,157.0","3,463.3","3,846.9","4,013.3","4,607.0","5,315.0","6,509.1","7,523.5","7,544.5","7,242.2","7,967.2"
OECD_Europe,"1,467.2","1,649.0","1,827.2","2,060.6","2,364.0","2,455.0","2,642.6","2,700.1","2,605.7","2,541.2","2,685.9","2,825.4","3,066.3","3,353.5","4,034.5","4,259.2","4,523.3","4,595.3","4,535.8","4,689.8","4,991.0","4,902.3","4,808.9","4,429.1","4,113.7","3,686.6","3,406.1","3,182.6","2,750.3","2,767.6","2,553.6","2,184.9","2,043.2","1,978.8","1,901.1","1,958.7","2,102.3","2,195.0","2,167.5","2,144.4","2,276.5","2,231.6","2,130.9"
China,266.9,275.8,304.9,304.7,450.1,606.4,570.0,581.0,549.9,515.0,499.6,453.0,430.2,389.7,370.8,345.9,406.6,397.7,312.9,143.7,206.1,151.0,153.3,162.7,109.5,161.3,127.3,77.7,84.8,103.7,60.6,50.5,48.9,32.0,12.2,57.3,58.6,97.1,52.4,16.1,32.7,52.7,41.5
Other_Asia,"1,677.4","1,631.3","1,712.9","1,879.2","1,759.0","1,409.7","1,461.0","1,354.9","1,375.4","1,426.7","1,486.2","1,640.9","1,638.7","1,708.2","1,805.4","1,708.0","1,639.6","1,686.2","1,755.7","1,879.5","1,692.3","1,723.3","1,631.1","1,595.0","1,617.7","1,454.0","1,366.9","1,269.6","1,170.0","1,311.2","1,142.9",928.3,893.2,808.7,860.2,979.1,"1,020.5",951.9,833.0,653.2,656.4,544.6,414.3
Latin_America,"1,598.7","1,595.9","1,375.6","1,277.6","1,314.9","1,179.6","1,390.3","1,416.7","1,431.2","1,443.1","1,752.2","1,850.8","1,955.4","2,140.3","2,425.7","2,812.5","3,022.3","3,292.4","3,411.1","3,095.8","3,109.6","3,159.2","2,705.3","2,576.0","2,663.4","3,431.5","2,972.9","3,291.9","3,051.1","3,169.2","3,164.0","3,180.6","3,245.3","3,065.5","3,733.2","3,894.3","3,830.5","3,821.7","3,476.8","3,289.2","3,007.7","2,737.7","3,059.9"
Middle_East,"16,375.8","13,697.7","10,409.3","8,724.0","8,077.8","7,091.3","8,883.0","8,554.1","9,890.8","11,368.3","12,043.8","12,516.0","13,337.9","13,901.4","13,820.9","13,822.1","13,794.8","14,467.2","15,575.7","15,064.2","16,027.1","15,092.6","13,738.0","14,533.1","16,314.7","16,860.7","16,911.5","16,669.6","17,386.0","15,308.2","15,987.5","17,772.3","18,076.8","17,497.2","16,792.8","17,037.3","19,321.1","18,756.8","18,908.8","17,585.9","16,266.2","16,036.2","18,155.0"
Africa,"5,429.0","3,901.6","3,314.5","3,274.4","3,463.8","3,836.6","3,794.6","3,408.2","3,535.8","4,062.6","4,423.9","4,692.9","4,627.6","4,519.9","4,640.7","4,803.7","5,051.1","5,141.5","5,430.6","5,073.6","5,427.3","5,226.5","5,342.6","5,961.2","6,633.6","6,757.1","6,774.1","7,349.4","6,707.5","7,272.8","7,529.4","6,404.6","7,136.0","6,562.7","5,880.8","5,940.4","5,555.3","5,914.1","6,087.4","6,126.1","5,028.2","5,282.3","4,841.0"
Russia,"4,530.9","4,468.9","4,517.2","4,751.8","4,857.8","4,357.1","4,804.0","5,086.5","5,347.9","4,740.7","4,448.2","3,497.6","2,856.8","2,510.8","2,490.0","2,503.9","2,519.2","2,491.5","2,696.5","2,648.4","3,150.0","3,300.0","3,953.4","4,520.4","5,211.1","5,222.3","5,106.3","5,171.6","5,120.0","4,967.6","4,977.8","4,786.3","4,757.1","4,689.0","4,488.4","4,899.3","5,079.3","5,057.8","5,207.2","5,241.3","4,617.0","4,510.5","4,780.4"
Other_Eurasia,0.6,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.4,0.0,432.4,458.4,432.2,347.5,201.5,237.1,262.2,403.4,463.7,617.8,675.6,793.2,926.3,979.8,959.3,"1,173.6","1,527.1","1,736.8","1,886.4","2,145.3","2,141.0","2,087.7","2,025.6","2,079.6","2,026.5","2,001.0","1,969.1","2,060.8","2,080.2","2,033.2","1,974.6","1,862.0","1,812.5"
Total_world,"32,759.3","28,853.5","25,685.9","24,574.3","24,632.8","23,275.3","25,692.9","25,375.8","27,070.5","28,281.0","29,966.3","30,385.4","30,813.9","31,425.8","32,341.4","33,123.0","34,109.0","35,652.9","37,517.0","36,285.1","38,690.3","37,816.3","36,786.0","38,447.4","41,404.9","42,413.6","41,873.5","42,359.2","41,549.4","40,194.9","40,910.1","40,874.3","41,700.3","40,437.7","39,842.8","41,062.2","43,791.9","44,386.9","45,570.6","44,899.7","41,699.9","40,793.9","43,477.3"
OPEC,"21,699.8","17,468.2","13,467.7","11,661.6","11,089.7","10,221.4","12,100.3","11,424.8","12,694.8","14,531.2","15,731.7","16,534.0","17,338.3","17,802.4","17,881.1","18,118.2","18,471.9","19,451.4","20,725.6","19,438.6","20,700.1","19,650.3","18,033.4","19,623.8","22,254.2","23,424.8","23,226.5","23,832.4","23,544.2","21,976.7","22,780.1","23,503.2","25,098.9","23,561.7","22,579.9","23,000.2","24,603.5","24,267.2","24,274.5","22,477.8","19,700.6","19,656.1","21,389.2"
OECD,"2,880.1","3,265.4","3,960.2","4,251.8","4,579.5","4,784.0","4,790.1","4,974.4","4,938.9","4,724.5","4,872.2","5,262.7","5,522.5","5,897.5","6,581.8","6,884.8","7,410.9","7,772.4","7,869.8","7,759.4","8,401.6","8,370.4","8,335.9","8,119.3","7,895.7","7,353.0","7,086.3","6,789.5","6,139.8","5,910.1","5,895.3","5,648.3","5,497.2","5,678.1","6,026.2","6,232.6","6,939.5","7,716.1","8,912.8","9,938.5","10,092.2","9,744.4","10,355.2"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
